Table,Key,Id,English (en-US),Russian (ru)
Credits,credits_indieNova,616901369857,indienova,indienova
OS_Alerts,SkippedReadmeFileAlertTitle,54410847131262976,Alert! - Skipped README.npg,Alert! - Skipped README.npg
OS_misc_contents,Chronolog_About_ProductKey,17418858901004289,SS01-MOGTXMY,SS01-MOGTXMY
OS_misc_contents,Colorlens_About_ProductKey,17418858901004290,SS02-UGPLENC,SS02-UGPLENC
OS_misc_contents,HAL_PuzzleA2_Password1,116525034971848704,sekhetaaru,sekhetaaru
OS_misc_contents,HAL_PuzzleA2_Password2,116525035001208832,sekhet aaru,sekhet aaru
OS_misc_contents,HAL_PuzzleA2_Password3,116525035005403136,sekhet-aaru,sekhet-aaru
OS_misc_contents,HAL_PuzzleA2_Password4,116525035005403137,sekhet_aaru,sekhet_aaru
OS_misc_contents,Notepage_About_ProductKey,17418858901004291,SS03-MPETYUH,SS03-MPETYUH
OS_misc_contents,OS_FileDialog_Extension,75355315447521296,.ext,.ext
OS_misc_contents,Password_MaxIntro_1,6844542526414848,power,power
OS_misc_contents,SecurityAnswers_P9Hanoi_Q4A10,515453739046,walleye,walleye
OS_misc_contents,SecurityAnswers_P9Hanoi_Q4A11,18165530954293248,walter,walter
OS_misc_contents,SecurityAnswers_P9Hanoi_Q4A12,18165530958487552,walterwaters,walterwaters
OS_misc_contents,SecurityAnswers_P9Hanoi_Q4A13,18165530958487553,walter_waters,walter_waters
OS_misc_contents,SecurityAnswers_P9Hanoi_Q4A14,18165530958487554,walter-waters,walter-waters
OS_misc_contents,SecurityAnswers_P9Hanoi_Q4A15,18165530958487555,walter waters,walter waters
OS_misc_contents,Sketchy_About_ProductKey,17418858901004292,DWAMF-35644,DWAMF-35644
OS_misc_contents,Storyteller_About_ProductKey,17418858901004293,SS04-CFLHUEV,SS04-CFLHUEV
OS_misc_contents,Websurfer_About_ProductKey,17418858901004294,SS05-WPCOFV,SS05-WPCOFV
TerminalCommandOutput,,136631079010295808,ADMIN-DEANALYSIS,ADMIN-DEANALYSIS
TerminalCommandOutput,,138785507175817221,M4X1MUS-DEANALYSIS,M4X1MUS-DEANALYSIS
TerminalCommandOutput,,138785507180011522,HALIBUT-DEANALYSIS,HALIBUT-DEANALYSIS
TerminalCommandOutput,,140998703336906752,DE-DAEMON,DE-DAEMON
TerminalCommandOutput,,148883796122394634,M4X1MUS-DEANALYSIS,M4X1MUS-DEANALYSIS
TerminalCommandOutput,,148883796122394640,HALIBUT-DEANALYSIS,HALIBUT-DEANALYSIS
TerminalCommandOutput,CMD_Base_Chrono_Restore_InvalidFilepath,167405071300026368,<color=red>[ALERT]</color>: <param>Filepath</param> is invalid - should follow format <cmd>FOLDER</cmd>/<param>FILENAME</param>.RES ,<color=red>[ALERT]</color>: <param>Filepath</param> is invalid - should follow format <cmd>FOLDER</cmd>/<param>FILENAME</param>.RES 
TerminalHelpCommandOutput,CMD_Base_Help_Placeholder,2376907923467,command,command
TerminalParameters,,35726907461853184,note,note
TerminalParameters,PARAM_Chrono_Restore,2431248399065098,restore,restore
TerminalParameters,PARAM_F1MainHall_Gate,945785135109,gate,gate
TerminalParameters,PARAM_F1MainHall_Go_Forward,2431248403259396,forward,forward
TerminalParameters,PARAM_F1MainHall_Go_Outside,945785135123,outside,outside
TerminalParameters,PARAM_F1MainHall_Left,945785135110,leftroom,leftroom
TerminalParameters,PARAM_F1MainHall_ResEntry,35882036509007872,note,note
TerminalParameters,PARAM_F1MainHall_Right,945785135111,rightroom,rightroom
TerminalParameters,PARAM_F1OrbRoom_Book,945785135113,book,book
TerminalParameters,PARAM_F1OrbRoom_InkBottle,945785135114,inkbottle,inkbottle
TerminalParameters,PARAM_F1OrbRoom_LeftBanner,945785135115,leftbanner,leftbanner
TerminalParameters,PARAM_F1OrbRoom_MiddleBanner,945785135117,middlebanner,middlebanner
TerminalParameters,PARAM_F1OrbRoom_Orb,945785135112,orb,orb
TerminalParameters,PARAM_F1OrbRoom_RightBanner,945785135116,rightbanner,rightbanner
TerminalParameters,PARAM_F1PortraitRoom_Corpse,35882036509007873,corpse,corpse
TerminalParameters,PARAM_F1PortraitRoom_Floor,945785135122,floor,floor
TerminalParameters,PARAM_F1PortraitRoom_Lever,945785135121,lever,lever
TerminalParameters,PARAM_F1PortraitRoom_Portrait,945785135118,portrait,portrait
TerminalParameters,PARAM_F1PortraitRoom_Torch,945785135119,torch,torch
TerminalParameters,PARAM_F1PortraitRoom_Wall,945785135120,wall,wall
TerminalParameters,PARAM_F2_confront_fears,324833773608960,FEARS,FEARS
TerminalParameters,PARAM_F2_leftObject,2431248403259397,sword,sword
TerminalParameters,PARAM_F2_leftObject_gems,36512164255621120,gems,gems
TerminalParameters,PARAM_F2_middleObject,2431248403259398,chalice,chalice
TerminalParameters,PARAM_F2_middleObject_palette,36512164259815424,palette,palette
TerminalParameters,PARAM_F2_rightObject_camera,945785135125,camera,camera
TerminalParameters,PARAM_F2_rightObject_medallion,945785135126,medallion,medallion
TerminalParameters,PARAM_GChessRoom_Ankh,16188908810264576,bishop,bishop
TerminalParameters,PARAM_GChessRoom_Book,15819139976257536,book,book
TerminalParameters,PARAM_GChessRoom_Chessboard,16188908810264578,chessboard,chessboard
TerminalParameters,PARAM_GChessRoom_Circle,41904132473217024,magiccircle,magiccircle
TerminalParameters,PARAM_GChessRoom_Mirror,16188908810264577,mirror,mirror
TerminalParameters,PARAM_Help_Chrono,66262133153718272,chrono,chrono
TerminalParameters,PARAM_Help_Clear,2431248399065100,clear,clear
TerminalParameters,PARAM_Help_Exit,69255018560086016,exit,exit
TerminalParameters,PARAM_Help_Feel,2431248399065101,feel,feel
TerminalParameters,PARAM_Help_Go,2431248399065102,go,go
TerminalParameters,PARAM_Help_Look,2431248399065103,look,look
TerminalParameters,PARAM_Help_MoreHelp,2431248399065104,morehelp,morehelp
TerminalParameters,PARAM_Help_Start,2431248399065105,start,start
TerminalParameters,PARAM_Help_Story,2431248403259392,story,story
TerminalParameters,PARAM_Help_Time,2431248403259393,datetime,datetime
TerminalParameters,PARAM_Help_Turn,68726113780621312,turn,turn
TerminalParameters,PARAM_Help_Uninstall,2431248403259394,uninstall,uninstall
TerminalParameters,PARAM_Help_Use,2431248403259395,use,use
